Author ,Year,Specimen,H,H_units,B,B_units,t,t_units,SteelTubeType,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,L,L_units,et,et_units,eb,eb_units,BendingAxis,Pexp,Pexp_units,d_at_Pexp,d_at_Pexp_units,LoadDeformation,Tags,Notes
Yu et al.,2008,S150-1,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,1500,mm,0,mm,,,strong,915,kN,,,yes,,
Yu et al.,2008,S150-2,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,1500,mm,0,mm,,,strong,945,kN,,,yes,,
Yu et al.,2008,S150-3,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,1500,mm,15,mm,,,strong,559,kN,,,yes,,
Yu et al.,2008,S150-4,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,1500,mm,15,mm,,,strong,660,kN,,,yes,,
Yu et al.,2008,S150-5,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,1500,mm,30,mm,,,strong,395,kN,,,yes,,
Yu et al.,2008,S150-6,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,1500,mm,30,mm,,,strong,390,kN,,,yes,,
Yu et al.,2008,S300-1,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,3000,mm,0,mm,,,strong,474,kN,,,yes,,
Yu et al.,2008,S300-2,100,mm,100,mm,1.9,mm,WeldedBox,404,MPa,,,121.6,MPa,Cube,3000,mm,0,mm,,,strong,466,kN,,,yes,,
Fong et al.,2011,CFS tubular column-Pin,60,mm,60,mm,3,mm,ColdFormed,407.98,MPa,480.22,MPa,40.96,MPa,Cylinder/100mm,2000,mm,0,mm,,,strong,186.88,kN,,,yes,,
Chen et al.,2012,AA-48,500,mm,500,mm,10,mm,WeldedBox,389,MPa,504,MPa,42.5,MPa,Cylinder,1500,mm,0,mm,,,strong,16.5,MN,,,yes,,Average of two sepecimens
Chen et al.,2012,AA-40,500,mm,500,mm,12,mm,WeldedBox,378,MPa,503,MPa,42.5,MPa,Cylinder,1500,mm,0,mm,,,strong,17.9,MN,,,yes,,
Chen et al.,2012,AA-32,410,mm,410,mm,12,mm,WeldedBox,378,MPa,503,MPa,42.5,MPa,Cylinder,1230,mm,0,mm,,,strong,12.8,MN,,,yes,,
Chen et al.,2012,AA-24,410,mm,410,mm,16,mm,WeldedBox,358,MPa,522,MPa,42.5,MPa,Cylinder,1230,mm,0,mm,,,strong,15.3,MN,,,yes,,
Hernandez-Figueirido et al.,2012a,S100.100.4_2_90.275_20.-10a,100,mm,100,mm,4,mm,ColdFormed,371.39,MPa,,,93.03,MPa,Cube,2135,mm,20,mm,-10,mm,strong,758.5,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_2_90.275_50.50,100,mm,100,mm,4,mm,ColdFormed,358.29,MPa,,,91.44,MPa,Cube,2135,mm,50,mm,50,mm,strong,321.12,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_2_90.275_50.50a,100,mm,100,mm,4,mm,ColdFormed,371.39,MPa,,,93.02,MPa,Cube,2135,mm,50,mm,50,mm,strong,323.15,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_20.-10,100,mm,100,mm,4,mm,ColdFormed,353.23,MPa,,,97.67,MPa,Cube,3135,mm,20,mm,-10,mm,strong,502.88,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_20.00,100,mm,100,mm,4,mm,ColdFormed,363.27,MPa,,,92.97,MPa,Cube,3135,mm,20,mm,0,mm,strong,410.4,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_20.10,100,mm,100,mm,4,mm,ColdFormed,280,MPa,,,86.95,MPa,Cube,3135,mm,20,mm,10,mm,strong,363.61,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_20.20,100,mm,100,mm,4,mm,ColdFormed,375.77,MPa,,,74.42,MPa,Cube,3135,mm,20,mm,20,mm,strong,381.47,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_50.-25,100,mm,100,mm,4,mm,ColdFormed,358.28,MPa,,,96.42,MPa,Cube,3135,mm,50,mm,-25,mm,strong,357.35,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_50.00,100,mm,100,mm,4,mm,ColdFormed,346.28,MPa,,,92.14,MPa,Cube,3135,mm,50,mm,0,mm,strong,316.24,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_50.25,100,mm,100,mm,4,mm,ColdFormed,358.29,MPa,,,90.43,MPa,Cube,3135,mm,50,mm,25,mm,strong,218.65,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_3_90.275_50.50,100,mm,100,mm,4,mm,ColdFormed,292.7,MPa,,,87.3,MPa,Cube,3135,mm,50,mm,50,mm,strong,230.31,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_4_90.275_20.-10,100,mm,100,mm,4,mm,ColdFormed,280,MPa,,,88.28,MPa,Cube,4135,mm,20,mm,-10,mm,strong,367.76,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_4_90.275_20.10,100,mm,100,mm,4,mm,ColdFormed,280,MPa,,,96.89,MPa,Cube,4135,mm,20,mm,10,mm,strong,254.93,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_4_90.275_20.20,100,mm,100,mm,4,mm,ColdFormed,280,MPa,,,94.99,MPa,Cube,4135,mm,20,mm,20,mm,strong,220.33,kN,,,,,
Hernandez-Figueirido et al.,2012a,S100.100.4_4_90.275_50.25,100,mm,100,mm,4,mm,ColdFormed,369.3,MPa,,,92.31,MPa,Cube,4135,mm,50,mm,25,mm,strong,184.33,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_2_90.275_50.50,100,mm,150,mm,4,mm,ColdFormed,341.86,MPa,,,77.38,MPa,Cube,2135,mm,50,mm,50,mm,strong,466.38,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_20.-10,100,mm,150,mm,4,mm,ColdFormed,280,MPa,,,91.39,MPa,Cube,3135,mm,20,mm,-10,mm,strong,690.02,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_20.00,100,mm,150,mm,4,mm,ColdFormed,280,MPa,,,84,MPa,Cube,3135,mm,20,mm,0,mm,strong,562.03,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_20.10,100,mm,150,mm,4,mm,ColdFormed,342.06,MPa,,,89.2,MPa,Cube,3135,mm,20,mm,10,mm,strong,501.48,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_20.20,100,mm,150,mm,4,mm,ColdFormed,298.5,MPa,,,84.47,MPa,Cube,3135,mm,20,mm,20,mm,strong,460.83,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_50.-25,100,mm,150,mm,4,mm,ColdFormed,308.46,MPa,,,92.26,MPa,Cube,3135,mm,50,mm,-25,mm,strong,502.81,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_50.00,100,mm,150,mm,4,mm,ColdFormed,362.79,MPa,,,91.59,MPa,Cube,3135,mm,50,mm,0,mm,strong,430.95,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_50.25,100,mm,150,mm,4,mm,ColdFormed,312.31,MPa,,,91.65,MPa,Cube,3135,mm,50,mm,25,mm,strong,287.38,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.4_3_90.275_50.50,100,mm,150,mm,4,mm,ColdFormed,341.86,MPa,,,89.69,MPa,Cube,3135,mm,50,mm,50,mm,strong,309.6,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_20.-10,100,mm,150,mm,5,mm,ColdFormed,336.27,MPa,,,91.69,MPa,Cube,3135,mm,20,mm,-10,mm,strong,692.62,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_20.00,100,mm,150,mm,5,mm,ColdFormed,370.39,MPa,,,79.72,MPa,Cube,3135,mm,20,mm,0,mm,strong,690.8,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_20.10,100,mm,150,mm,5,mm,ColdFormed,424.5,MPa,,,85.19,MPa,Cube,3135,mm,20,mm,10,mm,strong,622.3,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_20.20,100,mm,150,mm,5,mm,ColdFormed,459.82,MPa,,,91.04,MPa,Cube,3135,mm,20,mm,20,mm,strong,573.32,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_50.-25,100,mm,150,mm,5,mm,ColdFormed,306.38,MPa,,,85.06,MPa,Cube,3135,mm,50,mm,-25,mm,strong,548.45,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_50.00,100,mm,150,mm,5,mm,ColdFormed,396.01,MPa,,,87.39,MPa,Cube,3135,mm,50,mm,0,mm,strong,456.38,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_50.25,100,mm,150,mm,5,mm,ColdFormed,332.97,MPa,,,91.26,MPa,Cube,3135,mm,50,mm,25,mm,strong,328.5,kN,,,,,
Hernandez-Figueirido et al.,2012a,R100.150.5_3_90.275_50.50,100,mm,150,mm,5,mm,ColdFormed,368.09,MPa,,,82.54,MPa,Cube,3135,mm,50,mm,50,mm,strong,381.06,kN,,,,,
Hernandez-Figueirido et al.,2012b,S100.100.4_90.275_20.20,100,mm,100,mm,4,mm,ColdFormed,357.7,MPa,,,88.3,MPa,Cube,2135,mm,20,mm,20,mm,weak,490.7,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_30.275_20.20,100,mm,100,mm,4,mm,ColdFormed,292.7,MPa,,,36.4,MPa,Cube,2135,mm,20,mm,20,mm,weak,380.8,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_90.275_20.20,100,mm,150,mm,4,mm,ColdFormed,298.5,MPa,,,86.4,MPa,Cube,2135,mm,20,mm,20,mm,weak,804.3,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_30.275_20.20,100,mm,150,mm,4,mm,ColdFormed,312.3,MPa,,,30.7,MPa,Cube,2135,mm,20,mm,20,mm,weak,535.8,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_20.20,100,mm,150,mm,5,mm,ColdFormed,459.8,MPa,,,83,MPa,Cube,2135,mm,20,mm,20,mm,weak,935,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_30.275_20.20,100,mm,150,mm,5,mm,ColdFormed,332.9,MPa,,,32.8,MPa,Cube,2135,mm,20,mm,20,mm,weak,605.6,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_90.275_50.50,100,mm,100,mm,4,mm,ColdFormed,358.2,MPa,,,91.4,MPa,Cube,2135,mm,50,mm,50,mm,weak,321.1,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_30.275_50.50,100,mm,100,mm,4,mm,ColdFormed,346.2,MPa,,,35,MPa,Cube,2135,mm,50,mm,50,mm,weak,244,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_50.50,100,mm,150,mm,5,mm,ColdFormed,336.2,MPa,,,92.7,MPa,Cube,2135,mm,50,mm,50,mm,weak,458.5,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_30.275_50.50,100,mm,150,mm,4,mm,ColdFormed,362.7,MPa,,,31.4,MPa,Cube,2135,mm,50,mm,50,mm,weak,356,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_50.50,100,mm,150,mm,5,mm,ColdFormed,368,MPa,,,84,MPa,Cube,2135,mm,50,mm,50,mm,weak,528.1,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_30.275_50.50,100,mm,150,mm,5,mm,ColdFormed,396,MPa,,,26.1,MPa,Cube,2135,mm,50,mm,50,mm,weak,395,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_90.275_20.10,100,mm,100,mm,4,mm,ColdFormed,280,MPa,,,93.9,MPa,Cube,2135,mm,20,mm,10,mm,weak,525.7,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_30.275_20.10,100,mm,100,mm,4,mm,ColdFormed,353.2,MPa,,,37.1,MPa,Cube,2135,mm,20,mm,10,mm,weak,457.3,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_90.275_20.10,100,mm,150,mm,4,mm,ColdFormed,342,MPa,,,90.4,MPa,Cube,2135,mm,20,mm,10,mm,weak,850.9,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_30.275_20.10,100,mm,150,mm,4,mm,ColdFormed,280,MPa,,,31,MPa,Cube,2135,mm,20,mm,10,mm,weak,591.7,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_20.10,100,mm,150,mm,5,mm,ColdFormed,424.5,MPa,,,86.5,MPa,Cube,2135,mm,20,mm,10,mm,weak,981.6,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_30.275_20.10,100,mm,150,mm,5,mm,ColdFormed,299.2,MPa,,,32.8,MPa,Cube,2135,mm,20,mm,10,mm,weak,654.3,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_90.275_50.25,100,mm,100,mm,4,mm,ColdFormed,358.6,MPa,,,87.1,MPa,Cube,2135,mm,50,mm,25,mm,weak,383.1,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_30.275_50.25,100,mm,100,mm,4,mm,ColdFormed,358.6,MPa,,,33.4,MPa,Cube,2135,mm,50,mm,25,mm,weak,253.4,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_90.275_50.25,100,mm,150,mm,4,mm,ColdFormed,424.5,MPa,,,90.8,MPa,Cube,2135,mm,50,mm,25,mm,weak,463.4,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_30.275_50.25,100,mm,150,mm,4,mm,ColdFormed,424.5,MPa,,,33.1,MPa,Cube,2135,mm,50,mm,25,mm,weak,311.2,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_50.25,100,mm,150,mm,5,mm,ColdFormed,293.5,MPa,,,85.9,MPa,Cube,2135,mm,50,mm,25,mm,weak,526.4,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_30.275_50.25,100,mm,150,mm,5,mm,ColdFormed,293.5,MPa,,,29.2,MPa,Cube,2135,mm,50,mm,25,mm,weak,391.2,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_90.275_20.0,100,mm,100,mm,4,mm,ColdFormed,363.2,MPa,,,89.5,MPa,Cube,2135,mm,20,mm,0,mm,weak,652.6,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_30.275_20.0,100,mm,100,mm,4,mm,ColdFormed,358.2,MPa,,,35.8,MPa,Cube,2135,mm,20,mm,0,mm,weak,474.7,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_90.275_20.0,100,mm,150,mm,4,mm,ColdFormed,280,MPa,,,90.6,MPa,Cube,2135,mm,20,mm,0,mm,weak,926.3,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_30.275_20.0,100,mm,150,mm,4,mm,ColdFormed,308.4,MPa,,,29.5,MPa,Cube,2135,mm,20,mm,0,mm,weak,624.4,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_20.0,100,mm,150,mm,5,mm,ColdFormed,370.3,MPa,,,89.6,MPa,Cube,2135,mm,20,mm,0,mm,weak,1066,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_30.275_20.0,100,mm,150,mm,5,mm,ColdFormed,306.3,MPa,,,36.3,MPa,Cube,2135,mm,20,mm,0,mm,weak,728.5,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_90.275_20.-10,100,mm,100,mm,4,mm,ColdFormed,346.9,MPa,,,92.7,MPa,Cube,2135,mm,20,mm,-10,mm,weak,737,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,S100.100.4_30.275_20.-10,100,mm,100,mm,4,mm,ColdFormed,346.9,MPa,,,34.1,MPa,Cube,2135,mm,20,mm,-10,mm,weak,526.2,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_90.275_20.-10,100,mm,150,mm,4,mm,ColdFormed,268.1,MPa,,,93.6,MPa,Cube,2135,mm,20,mm,-10,mm,weak,945.8,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.4_30.275_20.-10,100,mm,150,mm,4,mm,ColdFormed,268.1,MPa,,,31.7,MPa,Cube,2135,mm,20,mm,-10,mm,weak,563.3,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_90.275_20.-10,100,mm,150,mm,5,mm,ColdFormed,304.5,MPa,,,93.4,MPa,Cube,2135,mm,20,mm,-10,mm,weak,1042,kN,,,yes,,
Hernandez-Figueirido et al.,2012b,R100.150.5_30.275_20.-10,100,mm,150,mm,5,mm,ColdFormed,304.5,MPa,,,30.6,MPa,Cube,2135,mm,20,mm,-10,mm,weak,720.2,kN,,,yes,,
Yang & Han,2012,Scfst-1,150,mm,150,mm,3,mm,WeldedBox,324.4,MPa,466.5,MPa,52.6,MPa,Cube,675,mm,0,mm,,,strong,1516,kN,,,,,
Yang & Han,2012,Scfst-2,150,mm,150,mm,3,mm,WeldedBox,324.4,MPa,466.5,MPa,52.6,MPa,Cube,900,mm,0,mm,,,strong,1599,kN,,,,,
Qu et al.,2013,PYA-1,150,mm,100,mm,4.065,mm,ColdFormed,295,MPa,496,MPa,39,MPa,Cube,700,mm,10,mm,10,mm,strong,750,kN,,,,,
Qu et al.,2013,PYA-2,150,mm,100,mm,4.065,mm,ColdFormed,295,MPa,496,MPa,66,MPa,Cube,800,mm,15,mm,15,mm,strong,1040,kN,,,,,
Qu et al.,2013,PYA-3,150,mm,100,mm,4.065,mm,ColdFormed,295,MPa,496,MPa,52,MPa,Cube,900,mm,20,mm,20,mm,strong,810,kN,,,,,
Qu et al.,2013,PYA-4,200,mm,150,mm,4.433,mm,ColdFormed,242,MPa,410,MPa,52,MPa,Cube,700,mm,20,mm,20,mm,strong,1750,kN,,,,,
Qu et al.,2013,PYA-5,200,mm,150,mm,4.433,mm,ColdFormed,242,MPa,410,MPa,39,MPa,Cube,800,mm,30,mm,30,mm,strong,1400,kN,,,,,
Qu et al.,2013,PYA-6,200,mm,150,mm,4.433,mm,ColdFormed,242,MPa,410,MPa,66,MPa,Cube,900,mm,40,mm,40,mm,strong,1250,kN,,,,,
Qu et al.,2013,PYA-7,300,mm,200,mm,5.73,mm,ColdFormed,336,MPa,533,MPa,66,MPa,Cube,800,mm,50,mm,50,mm,strong,3450,kN,,,,,
Qu et al.,2013,PYA-8,300,mm,200,mm,5.73,mm,ColdFormed,336,MPa,533,MPa,52,MPa,Cube,900,mm,60,mm,60,mm,strong,2650,kN,,,,,
Qu et al.,2013,PYA-9,300,mm,200,mm,5.73,mm,ColdFormed,336,MPa,533,MPa,39,MPa,Cube,1000,mm,70,mm,70,mm,strong,2445,kN,,,,,
Ding et al.,2014,SST1-A,249.6,mm,249.6,mm,3.7,mm,WeldedBox,324.3,MPa,,,40.4,MPa,Cube,750,mm,0,mm,0,mm,strong,3131,kN,,,,,
Ding et al.,2014,SST1-B,251,mm,251,mm,3.75,mm,WeldedBox,324.3,MPa,,,40.4,MPa,Cube,750,mm,0,mm,0,mm,strong,2832,kN,,,,,
Ding et al.,2014,SST1-C,251.1,mm,251.1,mm,3.73,mm,WeldedBox,324.3,MPa,,,40.4,MPa,Cube,750,mm,0,mm,0,mm,strong,2677,kN,,,,WeldFailure,Weld failure prior to maximum strength
Aslani et al.,2015,SC1B,70,mm,70,mm,5,mm,WeldedBox,701,MPa,754,MPa,21,MPa,Cylinder,210,mm,0,mm,0,mm,strong,1367,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,SC2B,100,mm,100,mm,5,mm,WeldedBox,701,MPa,754,MPa,21,MPa,Cylinder,300,mm,0,mm,0,mm,strong,1934,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,SC3B,125,mm,125,mm,5,mm,WeldedBox,701,MPa,754,MPa,21,MPa,Cylinder,375,mm,0,mm,0,mm,strong,2348,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,SC4B,150,mm,150,mm,5,mm,WeldedBox,701,MPa,754,MPa,21,MPa,Cylinder,450,mm,0,mm,0,mm,strong,2828,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC1,110,mm,110,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,330,mm,0,mm,0,mm,strong,2203,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC2,110,mm,110,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,330,mm,0,mm,0,mm,strong,2234,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC3,140,mm,140,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,420,mm,0,mm,0,mm,strong,2942,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC4,140,mm,140,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,420,mm,0,mm,0,mm,strong,2840,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC5,170,mm,170,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,510,mm,0,mm,0,mm,strong,3118,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC6,170,mm,170,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,510,mm,0,mm,0,mm,strong,3243,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC7,180,mm,180,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,570,mm,0,mm,0,mm,strong,3882,kN,,,,,Tubes had stiffener plates at the member ends
Aslani et al.,2015,HSSC8,180,mm,180,mm,5,mm,WeldedBox,701,MPa,754,MPa,54.5,MPa,Cylinder,570,mm,0,mm,0,mm,strong,3856,kN,,,,,Tubes had stiffener plates at the member ends
Du et al.,2016a,CSC40SC2,203,mm,101,mm,8.275,mm,WeldedBox,488.38,MPa,553,MPa,43.2,MPa,Cube,607,mm,0,mm,0,mm,weak,3090,kN,,,yes,,
Du et al.,2016a,CSC50SC3,203,mm,102,mm,8.275,mm,WeldedBox,488.38,MPa,553,MPa,55.3,MPa,Cube,60,mm,0,mm,0,mm,weak,3230,kN,,,yes,,
Du et al.,2016a,CSC40SB5,183,mm,119,mm,8.275,mm,WeldedBox,488.38,MPa,553,MPa,43.2,MPa,Cube,541,mm,0,mm,0,mm,weak,3300,kN,,,yes,,
Du et al.,2016a,CSC50SB6,182,mm,122,mm,8.275,mm,WeldedBox,488.38,MPa,553,MPa,55.3,MPa,Cube,541,mm,0,mm,0,mm,weak,3380,kN,,,yes,,
Du et al.,2016a,CSC40SD8,150,mm,150,mm,8.275,mm,WeldedBox,488.38,MPa,553,MPa,43.2,MPa,Cube,453,mm,0,mm,0,mm,weak,3500,kN,,,yes,,
Du et al.,2016a,CSC50SD9,152,mm,150,mm,8.275,mm,WeldedBox,488.38,MPa,553,MPa,55.3,MPa,Cube,451,mm,0,mm,0,mm,weak,3575,kN,,,yes,,
Du et al.,2016b,HS1C40SA1,120,mm,100,mm,5.7,mm,WeldedBox,514.53,MPa,640.9,MPa,43.2,MPa,Cube,361,mm,0,mm,0,mm,weak,1960,kN,,,,,
Du et al.,2016b,HS1C50SA4,120,mm,100,mm,5.7,mm,WeldedBox,514.53,MPa,640.9,MPa,55.3,MPa,Cube,360,mm,0,mm,0,mm,weak,2100,kN,,,,,
Du et al.,2016b,HS1C40SB2,182,mm,121,mm,5.7,mm,WeldedBox,514.53,MPa,640.9,MPa,43.2,MPa,Cube,540,mm,0,mm,0,mm,weak,2485,kN,,,,,
Du et al.,2016b,HS1C50SB8,181,mm,122,mm,5.7,mm,WeldedBox,514.53,MPa,640.9,MPa,55.3,MPa,Cube,540,mm,0,mm,0,mm,weak,2710,kN,,,,,
Du et al.,2016b,HS2C40SA61,121,mm,103,mm,7.69,mm,WeldedBox,423.2,MPa,593.78,MPa,43.2,MPa,Cube,363,mm,0,mm,0,mm,weak,2545,kN,,,,,
Du et al.,2016b,HS2C50SA64,120,mm,101,mm,7.69,mm,WeldedBox,423.2,MPa,593.78,MPa,55.3,MPa,Cube,358,mm,0,mm,0,mm,weak,2730,kN,,,,,
Du et al.,2016b,HS2C40SB62,179,mm,119,mm,7.69,mm,WeldedBox,423.2,MPa,593.78,MPa,43.2,MPa,Cube,542,mm,0,mm,0,mm,weak,3130,kN,,,,,
Du et al.,2016b,HS2C50SB65,180,mm,120,mm,7.69,mm,WeldedBox,423.2,MPa,593.78,MPa,55.3,MPa,Cube,545,mm,0,mm,0,mm,weak,3150,kN,,,,,
Dundu ,2016,S1-1,101.6,mm,101.6,mm,3,mm,ColdFormed,483.9,MPa,552.7,MPa,25,MPa,Cylinder,1000,mm,0,mm,0,mm,strong,718.88,kN,,,,,
Dundu ,2016,S1-2,101.6,mm,101.6,mm,3,mm,ColdFormed,483.9,MPa,552.7,MPa,25,MPa,Cylinder,1500,mm,0,mm,0,mm,strong,691.38,kN,,,,,
Dundu ,2016,S1-3,101.6,mm,101.6,mm,3,mm,ColdFormed,483.9,MPa,552.7,MPa,25,MPa,Cylinder,2000,mm,0,mm,0,mm,strong,589.48,kN,,,,,
Dundu ,2016,S1-4,101.6,mm,101.6,mm,3,mm,ColdFormed,483.9,MPa,552.7,MPa,25,MPa,Cylinder,2500,mm,0,mm,0,mm,strong,471.29,kN,,,,,
Dundu ,2016,S1-5,120,mm,120,mm,3.5,mm,ColdFormed,401,MPa,456.5,MPa,25,MPa,Cylinder,1000,mm,0,mm,0,mm,strong,1164.16,kN,,,,,
Dundu ,2016,S1-6,120,mm,120,mm,3.5,mm,ColdFormed,401,MPa,456.5,MPa,25,MPa,Cylinder,1500,mm,0,mm,0,mm,strong,997.19,kN,,,,,
Dundu ,2016,S1-7,120,mm,120,mm,3.5,mm,ColdFormed,401,MPa,456.5,MPa,25,MPa,Cylinder,2000,mm,0,mm,0,mm,strong,899.65,kN,,,,,
Dundu ,2016,S1-8,120,mm,120,mm,3.5,mm,ColdFormed,401,MPa,456.5,MPa,25,MPa,Cylinder,2500,mm,0,mm,0,mm,strong,729.1,kN,,,,,
Dundu ,2016,S1-9,150,mm,150,mm,3.5,mm,ColdFormed,405,MPa,481.1,MPa,25,MPa,Cylinder,1000,mm,0,mm,0,mm,strong,1516.26,kN,,,,,
Dundu ,2016,S1-10,150,mm,150,mm,3.5,mm,ColdFormed,405,MPa,481.1,MPa,25,MPa,Cylinder,1500,mm,0,mm,0,mm,strong,1330.13,kN,,,,,
Dundu ,2016,S1-11,150,mm,150,mm,3.5,mm,ColdFormed,405,MPa,481.1,MPa,25,MPa,Cylinder,2000,mm,0,mm,0,mm,strong,1307.61,kN,,,,,
